BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
125108,Merck Sharp & Dohme LLC,Licensed,NaT,2005-09-06
125109,Emergent BioSolutions Canada Inc.,Licensed,NaT,2005-05-02
125111,Sanofi Pasteur Limited,Licensed,NaT,2005-06-10
125115,CSL Behring GmbH,Voluntarily Revoked,NaT,2006-01-09
125117,BioMarin Pharmaceutical Inc.,Licensed,NaT,2005-05-31
125118,Bristol-Myers Squibb Company,Licensed,NaT,2005-12-23
125122,Merck Sharp & Dohme LLC,Licensed,NaT,2006-02-03
125123,Merck Sharp & Dohme LLC,Licensed,NaT,2006-05-25
125126,Merck Sharp & Dohme LLC,Licensed,NaT,2006-06-08
125127,GlaxoSmithKline Biologicals,Licensed,NaT,2005-08-31
125141,Genzyme Corporation,Voluntarily Revoked,NaT,2006-04-28
125145,Sanofi Pasteur Limited,Licensed,NaT,2008-06-20
125147,Amgen Inc.,Licensed,NaT,2006-09-27
125151,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2006-07-24
125154,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2006-10-17
125156,"Genentech, Inc.",Licensed,NaT,2006-06-30
125158,"Emergent Product Development Gaithersburg, Inc.",Licensed,NaT,2007-08-31
125160,"UCB, Inc.",Licensed,NaT,2008-04-22
125163,ID Biomedical Corporation of Quebec,Licensed,NaT,2006-10-05
125164,Vifor (International) Inc.,Licensed,NaT,2016-04-28
125166,"Alexion Pharmaceuticals, Inc.",Licensed,NaT,2007-03-16
125196,"Schering Corporation a subsidiary of Merck & Co., Inc.",Voluntarily Revoked,NaT,2008-06-13
125201,CSL Behring AG,Licensed,NaT,2007-07-26
125234,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2007-03-30
125244,Sanofi Pasteur Inc.,Licensed,NaT,2007-04-17
125247,Omrix Biopharmaceuticals Ltd,Licensed,NaT,2007-08-27
125248,Baxter Healthcare Corporation,Licensed,NaT,2008-01-17
125249,"Kiniksa Pharmaceuticals (UK), Ltd.",Licensed,NaT,2008-02-27
125251,Octapharma Pharmazeutika Produktionsges.m.b.H.,Licensed,NaT,2010-12-20
125254,Seqirus Pty Ltd.,Licensed,NaT,2007-09-28
