ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
207921,001,QVAR REDIHALER,BECLOMETHASONE DIPROPIONATE,0.04MG/INH,"AEROSOL, METERED",INHALATION,Y,N,RX,,,,
207921,002,QVAR REDIHALER,BECLOMETHASONE DIPROPIONATE,0.08MG/INH,"AEROSOL, METERED",INHALATION,Y,N,RX,,,,
020236,001,SEREVENT,SALMETEROL XINAFOATE,EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
021929,001,SYMBICORT,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.08MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,AB,,,
021929,002,SYMBICORT,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.16MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,AB,,,
216579,001,SYMBICORT AEROSPHERE,BUDESONIDE; FORMOTEROL FUMARATE,0.16MG/INH;0.0048MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
019660,001,TILADE,NEDOCROMIL SODIUM,1.75MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
018770,001,TORNALATE,BITOLTEROL MESYLATE,0.37MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
017573,001,VANCERIL,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020486,001,VANCERIL DOUBLE STRENGTH,BECLOMETHASONE DIPROPIONATE,0.084MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
018473,001,VENTOLIN,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020983,001,VENTOLIN HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,BX,,,
021730,001,XOPENEX HFA,LEVALBUTEROL TARTRATE,EQ 0.045MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
018584,001,BECONASE,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",NASAL,N,N,DISCN,,,,
019798,001,NASACORT,TRIAMCINOLONE ACETONIDE,0.055MG/INH,"AEROSOL, METERED",NASAL,N,N,DISCN,,,,
202813,002,QNASL,BECLOMETHASONE DIPROPIONATE,0.04MG/ACTUATION,"AEROSOL, METERED",NASAL,Y,N,RX,,,,
202813,001,QNASL,BECLOMETHASONE DIPROPIONATE,0.08MG/ACTUATION,"AEROSOL, METERED",NASAL,Y,Y,RX,,,,
020233,001,RHINOCORT,BUDESONIDE,0.032MG/INH,"AEROSOL, METERED",NASAL,N,N,DISCN,,,,
018521,001,VANCENASE,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",NASAL,N,N,DISCN,,,,
202129,001,ZETONNA,CICLESONIDE,0.037MG/INH,"AEROSOL, METERED",NASAL,Y,N,DISCN,,,,
017351,001,CORTIFOAM,HYDROCORTISONE ACETATE,10%,"AEROSOL, METERED",RECTAL,Y,Y,RX,,,,
021780,001,NITROMIST,NITROGLYCERIN,0.4MG/SPRAY,"AEROSOL, METERED",SUBLINGUAL,Y,Y,RX,,,,
