BLANumber,BiosimilarProprietaryName,BiosimilarProperName,ReferenceProductName,ReferenceProductName,ReferenceBLANumber,InterchangeabilityFlag,LicensureDate,LicensureDate
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,<NA>,N/A,,Y,2013-06-07,NaT
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,<NA>,N/A,,Y,2014-12-11,NaT
103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,N/A,<NA>,,Y,2019-11-04,NaT
103915,Yf-Vax,Yellow Fever Vaccine,<NA>,N/A,,Y,1999-12-09,NaT
103919,<NA>,Diphtheria & Tetanus Toxoids Adsorbed,<NA>,<NA>,,Y,1999-12-09,NaT
103921,<NA>,Tetanus and Diphtheria Toxoids Adsorbed,<NA>,<NA>,,Y,1999-12-09,NaT
103922,Tripedia,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,<NA>,<NA>,,Y,1999-12-09,NaT
103923,Menomune-C,"Meningococcal Polysaccharide Vaccine, Group C",<NA>,N/A,,Y,1999-12-09,NaT
103924,Menomune-A,"Meningococcal Polysaccharide Vaccine, Group A",<NA>,N/A,,Y,1999-12-09,NaT
103925,Menomune-A/C,"Meningococcal Polysaccharide Vaccine, Groups A and C Combined",<NA>,N/A,,Y,1999-12-09,NaT
103926,Menomune,"Meningococcal Polysaccharide Vaccine, Groups A, C, Y, and W-135 Combined",<NA>,N/A,,Y,1999-12-09,NaT
103930,Ipol,Poliovirus Vaccine Inactivated,<NA>,N/A,,Y,2000-02-04,NaT
103931,Imovax Rabies,Rabies Vaccine,<NA>,N/A,,Y,2000-02-04,NaT
103932,Imogam,Rabies Immune Globulin (Human),<NA>,N/A,,Y,2001-03-06,NaT
103935,"Acthib,Omnihib",Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),<NA>,N/A,,Y,2000-02-04,NaT
103936,Typhim Vi,Typhoid Vi Polysaccharide Vaccine,<NA>,N/A,,Y,2000-02-04,NaT
103937,<NA>,Botulism Antitoxin Bivalent (Equine) Types A and B.,<NA>,<NA>,,Y,2000-02-24,NaT
103940,Poliovax,Poliovirus Vaccine Inactivated (Human Diploid Cell),<NA>,N/A,,Y,2000-02-24,NaT
103941,Tubersol,"Tuberculin, Purified Protein Derivative",<NA>,N/A,,Y,2000-02-24,NaT
103942,Mycobax,BCG Vaccine,<NA>,<NA>,,Y,2000-02-24,NaT
103943,TheraCys,BCG Live,<NA>,<NA>,,Y,2000-02-24,NaT
103944,<NA>,Diphtheria & Tetanus Toxoids Adsorbed,<NA>,N/A,,Y,2000-02-24,NaT
103945,Nabi-HB,Hepatitis B Immune Globulin (Human),<NA>,N/A,,Y,2001-10-23,NaT
Subcutaneous,Autoinjector,Disc,CDER,<NA>,,Y,NaT,NaT
Subcutaneous,Single-Dose Vial,Disc,CDER,<NA>,,Y,NaT,NaT
103953,"Monoclate, Monoclate-P",Antihemophilic Factor (Human),<NA>,N/A,,Y,2003-05-14,NaT
103953,"Monoclate, Monoclate-P",Antihemophilic Factor (Human),<NA>,N/A,,Y,2004-03-04,NaT
103955,"Albuminar, Albuminar-20, Albuminar-25, Albuminar-5",Albumin (Human),<NA>,N/A,,Y,2000-03-17,NaT
103955,"Albuminar, Albuminar-20, Albuminar-25, Albuminar-5",Albumin (Human),<NA>,N/A,,Y,2000-07-17,NaT
103956,"gammar i.v.,gammar-p i.v.",Immune Globulin Intravenous (Human),<NA>,<NA>,,Y,2000-03-17,NaT
103957,Mononine,Coagulation Factor IX (Human),<NA>,N/A,,Y,2000-03-17,NaT
103960,Humate-P,Antihemophilic Factor/von Willebrand Factor Complex (Human),<NA>,N/A,,Y,2000-04-11,NaT
103969,Pharmalgen,"Venoms, Honey Bee Venom",<NA>,N/A,,Y,1991-10-08,NaT
103970,Pharmalgen,"Venoms, Mixed Vespid Venom Protein",<NA>,N/A,,Y,1991-10-08,NaT
103971,Pharmalgen,"Venoms, Wasp Venom Protein",<NA>,N/A,,Y,1991-10-08,NaT
103972,Pharmalgen,"Venoms, White Faced Hornet Venom Protein",<NA>,N/A,,Y,1991-10-08,NaT
103973,Pharmalgen,"Venoms, Yellow Hornet Venom Protein",<NA>,N/A,,Y,1991-10-08,NaT
103974,Pharmalgen,"Venoms, Yellow Jacket Venom Protein",<NA>,N/A,,Y,1991-10-08,NaT
103980,Tisseel,Fibrin Sealant (Tisseel),<NA>,N/A,,Y,1998-05-01,NaT
103980,Tisseel,Fibrin Sealant (Tisseel),<NA>,N/A,,Y,2006-07-27,NaT
125010,"Crosseal, Evicel",Fibrin Sealant (Human),<NA>,N/A,,Y,2003-03-21,NaT
125020,"Flumist, Flumist Quad","Influenza Vaccine Live, Intranasal",<NA>,N/A,,Y,2003-06-17,NaT
125020,"Flumist, Flumist Quad","Influenza Vaccine Live, Intranasal",<NA>,N/A,,Y,2012-02-29,NaT
125034,BabyBig,Botulism Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2003-10-23,NaT
125035,Hepagam B,Hepatitis B Immune Globulin (Human),<NA>,N/A,,Y,2006-01-27,NaT
125039,"Aralast, Aralast Np",Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2002-12-23,NaT
125046,"Gammaked, Gamunex-C",Immune Globulin Injection (Human) 10% Caprylate/Chromatography Purified,<NA>,N/A,,Y,2003-08-27,NaT
125062,Octagam,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2004-05-21,NaT
125062,Octagam,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2007-03-26,NaT
125062,Octagam,Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2014-07-11,NaT
