IngredientRxCUI,ProductRxCUI,NDC11,PackSize,UoM,UnitsPerPack,GTIN,RefrigeratedFlag,IsCurrent
153165,259255,68788813203,,,,,0,1
153165,259255,68788813206,,,,,0,1
153165,259255,68788813209,,,,,0,1
153165,259255,69097091105,,,,,0,1
153165,259255,69097091112,,,,,0,1
153165,259255,69097094705,,,,,0,1
153165,259255,69097094712,,,,,0,1
153165,259255,69539009605,,,,,0,1
153165,259255,69539009630,,,,,0,1
153165,259255,69539009690,,,,,0,1
153165,259255,69539009699,,,,,0,1
153165,259255,70377003011,,,,,0,1
153165,259255,70377003012,,,,,0,1
153165,259255,70377003013,,,,,0,1
153165,259255,70377003014,,,,,0,1
153165,259255,70377008011,,,,,0,1
153165,259255,70377008012,,,,,0,1
153165,259255,70377008013,,,,,0,1
153165,259255,70518056700,,,,,0,1
153165,259255,70518151400,,,,,0,1
153165,259255,70518151401,,,,,0,1
153165,259255,70518330400,,,,,0,1
153165,259255,70518330401,,,,,0,1
153165,259255,70518384800,,,,,0,1
153165,259255,70518384801,,,,,0,1
153165,259255,70518384802,,,,,0,1
153165,259255,70710177000,,,,,0,1
153165,259255,70710177005,,,,,0,1
153165,259255,70710177009,,,,,0,1
153165,259255,70756025030,,,,,0,1
153165,259255,70756025051,,,,,0,1
153165,259255,70756025090,,,,,0,1
153165,259255,70771144600,,,,,0,1
153165,259255,70771144601,,,,,0,1
153165,259255,70771144603,,,,,0,1
153165,259255,70771144604,,,,,0,1
153165,259255,70771144605,,,,,0,1
153165,259255,70771144609,,,,,0,1
153165,259255,70771187800,,,,,0,1
153165,259255,70771187805,,,,,0,1
153165,259255,70771187809,,,,,0,1
153165,259255,70934051330,,,,,0,1
153165,259255,71205009830,,,,,0,1
153165,259255,71205009860,,,,,0,1
153165,259255,71205009890,,,,,0,1
153165,259255,71205033520,,,,,0,1
153165,259255,71205033530,,,,,0,1
153165,259255,71205033560,,,,,0,1
153165,259255,71205033590,,,,,0,1
153165,259255,71209009304,,,,,0,1
153165,259255,71209009310,,,,,0,1
153165,259255,71335029501,,,,,0,1
153165,259255,71335029502,,,,,0,1
153165,259255,71335029503,,,,,0,1
153165,259255,71335058301,,,,,0,1
153165,259255,71335058302,,,,,0,1
153165,259255,71335058303,,,,,0,1
153165,259255,71335133601,,,,,0,1
153165,259255,71335133602,,,,,0,1
153165,259255,71335133603,,,,,0,1
153165,259255,71335133604,,,,,0,1
153165,259255,71335222501,,,,,0,1
153165,259255,71335222502,,,,,0,1
153165,259255,71335222503,,,,,0,1
153165,259255,71335222504,,,,,0,1
153165,259255,71335240701,,,,,0,1
153165,259255,71335240702,,,,,0,1
153165,259255,71335240703,,,,,0,1
153165,259255,71335240704,,,,,0,1
153165,259255,71335258201,,,,,0,1
