BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
103691,becaplermin,Regranex,"Smith & Nephew, Inc.",Gel,Topical,0.0001,N/A,Y,1997-12-16
103694,oprelvekin,Neumega,Wyeth Pharmaceuticals Inc.,For Injection,Subcutaneous,5MG,N/A,Y,1997-11-25
103705,rituximab,Rituxan,"Genentech, Inc.",Injection,Intravenous,100MG/10ML (10MG/ML),N/A,Y,1997-11-26
103705,rituximab,Rituxan,"Genentech, Inc.",Injection,Intravenous,500MG/50ML (10MG/ML),N/A,Y,1997-11-26
103737,rituximab,Rituxan,IDEC Pharmaceuticals Corp.,Injection,Intravenous,100MG/10ML (10MG/ML),N/A,Y,2002-02-19
103737,rituximab,Rituxan,IDEC Pharmaceuticals Corp.,Injection,Intravenous,500MG/50ML (10MG/ML),N/A,Y,2002-02-19
103738,Thin-Layer Rapid Use Epicutaneous Patch Test,T.R.U.E. Test,SmartPractice Denmark ApS,Patch,Topical,"36 MCG NICKEL/PATCH, 810 MCG WOOL ALCOHOL/PATCH, 486 MCG NEOMYCIN SULFATE/PATCH, 15.7 MCG CHROMIUM/PATCH, 510 MCG CAINE MIX/PATCH, 405 MCG FRAGRANCE MIX/PATCH, 972 MCG COLOPHONY/PATCH, 810 MCG PARABEN/PATCH, 648 MCG OF BALSAM OF PERU RESIN/PATCH, 18 MCG E",N/A,Y,1997-08-15
103749,daclizumab,Zenapax,Hoffmann-La Roche Inc.,Injection,Intravenous,25MG/5ML,N/A,Y,1997-12-10
103752,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"ALK-Abello, Inc.",Injection,Percutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103752,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,"ALK-Abello, Inc.",Injection,Subcutaneous,"10,000BAU/ML",N/A,Y,2050-09-29
103754,Positive Skin Test Control-Histamine,Histatrol,"ALK-Abello, Inc.",Injection,Intradermal,0.1MG/ML,N/A,Y,2050-09-29
103754,Positive Skin Test Control-Histamine,Histatrol,"ALK-Abello, Inc.",Injection,Percutaneous,1MG/ML,N/A,Y,2050-09-29
103764,basiliximab,Simulect,Novartis Pharmaceuticals Corporation,For Injection,Intravenous,20MG,N/A,Y,1998-05-12
103764,basiliximab,Simulect,Novartis Pharmaceuticals Corporation,For Injection,Intravenous,10MG,N/A,Y,2003-01-02
103767,denileukin diftitox,Ontak,"Eisai, Incorporated",Injection,Intravenous,150MCG/ML (300MCG/2ML),N/A,Y,1999-02-05
