ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,MarketingStatus,TECode,ReferenceListedDrugFlag,ReferenceStandardFlag,ApplicantName,ApplType,ApplStatus,FirstApprovalDate
085904,001,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,0.12MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ALPHARMA US PHARMACEUTICALS DIVISION,A,Discontinued,1982-01-01
011178,001,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.103MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SANOFI AVENTIS US LLC,N,Discontinued,1982-01-01
019009,001,MAXAIR,PIRBUTEROL ACETATE,EQ 0.2MG BASE/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,BAUSCH HEALTH US LLC,N,Discontinued,1986-12-30
020014,001,MAXAIR,PIRBUTEROL ACETATE,EQ 0.2MG BASE/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,BAUSCH HEALTH US LLC,N,Discontinued,1992-11-30
012102,001,MEDIHALER ERGOTAMINE,ERGOTAMINE TARTRATE,0.36MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,3M PHARMACEUTICALS INC,N,Discontinued,1982-01-01
010374,003,MEDIHALER-EPI,EPINEPHRINE BITARTRATE,0.3MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,3M PHARMACEUTICALS INC,N,Discontinued,1982-01-01
010375,003,MEDIHALER-ISO,ISOPROTERENOL SULFATE,0.08MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,3M PHARMACEUTICALS INC,N,Discontinued,1982-01-01
205920,001,PRIMATENE MIST,EPINEPHRINE,0.125MG/INH,"AEROSOL, METERED",INHALATION,OTC,,Y,Y,ARMSTRONG PHARMACEUTICALS INC,N,Active,2018-11-07
016126,001,PRIMATENE MIST,EPINEPHRINE,0.2MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,WYETH CONSUMER HEALTHCARE,N,Discontinued,1982-01-01
021457,001,PROAIR HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB2,Y,Y,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,N,Active,2004-10-29
017559,001,PROVENTIL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SCHERING CORP SUB SCHERING PLOUGH CORP,N,Discontinued,1982-01-01
020503,001,PROVENTIL-HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB1,Y,Y,KINDEVA DRUG DELIVERY LP,N,Active,1996-08-15
020911,002,QVAR 40,BECLOMETHASONE DIPROPIONATE,0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, METERED",INHALATION,DISCN,,Y,N,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,N,Discontinued,2000-09-15
020911,001,QVAR 80,BECLOMETHASONE DIPROPIONATE,0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, METERED",INHALATION,DISCN,,Y,N,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,N,Discontinued,2000-09-15
207921,001,QVAR REDIHALER,BECLOMETHASONE DIPROPIONATE,0.04MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,N,NORTON WATERFORD LTD,N,Active,2017-08-03
207921,002,QVAR REDIHALER,BECLOMETHASONE DIPROPIONATE,0.08MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,N,NORTON WATERFORD LTD,N,Active,2017-08-03
020236,001,SEREVENT,SALMETEROL XINAFOATE,EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1994-02-04
021929,001,SYMBICORT,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.08MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,RX,AB,Y,Y,ASTRAZENECA LP,N,Active,2006-07-21
021929,002,SYMBICORT,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.16MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,RX,AB,Y,Y,ASTRAZENECA LP,N,Active,2006-07-21
216579,001,SYMBICORT AEROSPHERE,BUDESONIDE; FORMOTEROL FUMARATE,0.16MG/INH;0.0048MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ASTRAZENECA PHARMACEUTICALS LP,N,Active,2023-04-28
019660,001,TILADE,NEDOCROMIL SODIUM,1.75MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,KING PHARMACEUTICALS LLC,N,Discontinued,1992-12-30
018770,001,TORNALATE,BITOLTEROL MESYLATE,0.37MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SANOFI AVENTIS US LLC,N,Discontinued,1984-12-28
017573,001,VANCERIL,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SCHERING CORP SUB SCHERING PLOUGH CORP,N,Discontinued,1982-01-01
020486,001,VANCERIL DOUBLE STRENGTH,BECLOMETHASONE DIPROPIONATE,0.084MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,SCHERING CORP,N,Discontinued,1996-12-24
018473,001,VENTOLIN,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1982-01-01
020983,001,VENTOLIN HFA,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,BX,Y,Y,GLAXOSMITHKLINE INTELLECTUAL PROPERTY LTD ENGLAND,N,Active,2001-04-19
021730,001,XOPENEX HFA,LEVALBUTEROL TARTRATE,EQ 0.045MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,LUPIN INC,N,Active,2005-03-11
018584,001,BECONASE,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",NASAL,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1982-01-01
019798,001,NASACORT,TRIAMCINOLONE ACETONIDE,0.055MG/INH,"AEROSOL, METERED",NASAL,DISCN,,N,N,CHATTEM INC DBA SANOFI CONSUMER HEALTHCARE,N,Discontinued,1991-07-11
